folder,make,code,category,fuel,displacement,images_saved,caption,post_url
8L_2.8L__2,,8L,Engine,Petrol,2.8L,5,MERCEDES BENZ/ SSANG YONG MUSSO (662920) 2.8L  GASOLINE ENGINE .,https://www.facebook.com/jdmmiamimotors/posts/pfbid0ovFCNPBkS61ax2YNfipcS5kP1NaP22G4HJQi1YPUVjWVbH3WyoUWceh2YtpjDEUDl
Hyundai_G3LA_1.0L__2,Hyundai,G3LA,Engine,Petrol,1.0L,3,HYUNDAI G3LA 1.0 L GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0XLS21VEcHQbzm2kHKkJ95VjnrLPTyx5CsyJcuE4AhJ9C3izHXfGsqsDJ6KqGT2xnl
Mazda_WL,Mazda,WL,Half Cut,,,4,HALF CUT MAZDA WL,https://www.facebook.com/jdmmiamimotors/posts/pfbid0CcStqPnpQvYUk5tzH532tEAMGkNuus6ZVC1cmuxk7NqgPTcDXKFFC2biaDmXeMjXl
Toyota_4A_1.6L,Toyota,4A,Engine,Petrol,1.6L,4,TOYOTA 4A 1.6L V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid028ytVtC85FNweikgG2hfiSsDhXmiAgGEn9TNNZzk8gujXdaaNiToQEFniZtCUmADTl
Toyota_1NR_1.3L,Toyota,1NR,Engine,Petrol,1.3L,4,TOYOTA 1NR 1.3L GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid028c3gktpFQsESB2e2fAGEyV9VfHAmkKip9xPdU1HchNKGnq4itHinsXV6GHMtr3SQl
Nissan_YD25_2.5L__5,Nissan,YD25,Engine,Diesel,2.5L,5,NISSAN YD25 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0bvgmHbH9eZnjugK9N3KPEAWUBmEVojZPpZLKMfUc8n9arf7HtDF4VYyc8fSADbvol
Mitsubishi_4P10_3.0L__2,Mitsubishi,4P10,Engine,Diesel,3.0L,5,MITSUBISHI FUSO 4P10 3.0 L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02GfX379Ty7SGHBNDtEQP1GbFRmuKJ7Fnb61NbGbZNCqMb2JfaTRY7rukgmgnHpQzl
Ford_P4AT_2.2L,Ford,P4AT,Engine,,2.2L,5,FORD RANGER P4AT/P5AT 2.2L/3.5L ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0hKaD2EbTRbGvn2ezU8MwPzSGv4uQ4FkvF4zQTYXJXYct6KKi9xw3TQdwupAdB9JHl
Mitsubishi_4G64_2.4L__2,Mitsubishi,4G64,Engine,Petrol,2.4L,5,MITSUBISHI 4G64 2.4L V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0Kjb6YrK8bdQFeHwcHGL14ZqQjuKEc98Nmkapz4S8c2xbWww3HWUY5Wxx7wRdBz8yl
Mitsubishi_4M42_3.0L__2,Mitsubishi,4M42,Engine,Diesel,3.0L,3,Mitsubishi 4M42 (3.0L) Inline 4-Cylinder Turbo charges Diesel engine.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02hXhGUk7Nt5Se36ez767eDVGb7MaZeAMyjkZVbJkpneMHG2Hcyx6ikkjBashjDZwbl
Nissan_VQ40_4.0L__2,Nissan,VQ40,Engine,Petrol,4.0L,5,NISSAN VQ40 4.0 L V6 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid037u6HJSFW1AwBuK7gNK2D8m7JBiy8Zb6hbiAwG8Jw7VH1xyySb9restgzHnnXwywpl
1.8L,,,Engine,Petrol,1.8L,5,MERCEDES BENZ M 271 1.8 L GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0MEJSVmaBivEAWXoSDGda5pEhcXYdz5PqqWTs1NS7biPXiLZX5Pjo31S55pAX2wGTl
Toyota_SO5D_4.8L__2,Toyota,SO5D,Engine,Diesel,4.8L,3,TOYOTA SO5D 4.8L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02goQ58akygPLvKyfbtRGp5pGBsAZkcq4x2K33N2shDamjXdPsNeUiSh4SNbfftvql
Toyota_2GR_3.0L__2,Toyota,2GR,Engine,Petrol,3.0L,5,TOYOTA 2GR/3GR 3.5/3.0 L GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02EgMkFTx6VYXDfURvagNFRb4FTyhx5BpdVek6K2EuLwp2yJcgGzHY6Nb9oUv3Yccjl
N42_1.8L,,N42,Engine,Petrol,1.8L,4,BMW N42 & N46 1.8L V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02MHMjkDoiHUNCy37hPMMoSxTAtqcfKxXhU9ZQ8jM6CQbx9FHMhKwqSz4o1D7AY3Tzl
Mazda_WE_3.0L__3,Mazda,WE,Engine,Diesel,3.0L,3,MAZDA WE 3.0L V4 DIESEL ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02X8xsLz67NWwhtyQMt1YxjRFvefW411NzaNEnWGjPUQHpK2Wf6iVBDZo3uQxjRxtVl
N46,,N46,Half Cut,,,3,BMW N46 COMPLETE HALFCUTS,https://www.facebook.com/jdmmiamimotors/posts/pfbid028oqkfYgoqUrwBKDzPrsPQ3AiRPmtwExMeQjNRaj6hQjs5WuxUUfdwXQbktzBZizhl
Toyota_2RZ,Toyota,2RZ,Half Cut,,,4,TOYOTA HIACE 2RZ COMPLETE HALFCUTS,https://www.facebook.com/jdmmiamimotors/posts/pfbid02GrpjY9w7YY77iCCNjemtgqRo7553BqmiCFx54GfVrpURXGdLX4NDvWLMmQmwoiJil
Toyota_1ZZ__2,Toyota,1ZZ,Half Cut,,,5,TOYOTA COROLLA 1ZZ COMPLETE HALFCUTS,https://www.facebook.com/jdmmiamimotors/posts/pfbid02MkLJjWs9RwHNq2iTtbmGxYtcBBUmA8gUHUfZzgsXHjRoiJqY1d8WbreYfTYhWcZtl
Mitsubishi_4D56-TURBO_2.5L__3,Mitsubishi,4D56-TURBO,Engine,Diesel,2.5L,5,MITSUBISHI 4D56-TURBO /NON TURBO/INTERCOOLER  2.5L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0KLKwSvCEhJcEvdVPoG2ka6F79yPYgeyPGcm9LYm7fgMN68T9sHvjK6vXWg29Ws6Zl
Mitsubishi_L200-4D56,Mitsubishi,L200-4D56,Half Cut,,,5,"MITSUBISHI L200-4D56 U COMPLETE HALFCUTS (FRONT CUT, ENGINE, TRANSMISSION, COMPLETE SET OF DOOR, FRONT AND REAR DIFFERENTIAL)",https://www.facebook.com/jdmmiamimotors/posts/pfbid02NQfafR8wT3eFP896zE9jCvDbeYhSG59p8b2bwZuo8BAc87EfofBK5moG6MitnnUUl
Nissan_YD25__2,Nissan,YD25,Half Cut,,,3,"NISSAN NAVARA YD25 COMPLETE HALFCUTS (FRONT CUT, ENGINE, TRANSMISSION, COMPLETE SET OF DOOR, FRONT AND REAR DIFFERENTIAL)",https://www.facebook.com/jdmmiamimotors/posts/pfbid032qkgXJfxF4UG7J9giZoxujPXCcmGDfMi7tFA6RSLdaJgWyTEwX7q8gj6k1Xikxngl
Toyota_1KZ,Toyota,1KZ,Half Cut,,,3,"TOYOTA PRADO 1KZ COMPLETE HALF CUTS (FRONT CUT, ENGINE, TRANSMISSION, COMPLETE SET OF DOOR, FRONT AND REAR DIFFERENTIAL)",https://www.facebook.com/jdmmiamimotors/posts/pfbid027vJ1ytTBeTGaBcRcgHYGrqkMK8FhuBv8WNCHRe4LvcB9y8kpxeRYYboTufHQWpCMl
Hyundai_D4BB_2.5L__3,Hyundai,D4BB,Engine,Diesel,2.5L,4,HYUNDAI – D4BB 2.5L  V4 TURBO AND NON-TURBO DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0MdZd2wLBTsgCjH7SJJG1FZRVS1m2KkpGRu9774kaHefbL6rNVmK2AnrhMLUqiyGol
Mitsubishi_4D56-U_2.5L__3,Mitsubishi,4D56-U,Engine,Diesel,2.5L,4,MITSUBISHI 4D56-U 2.5L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0tx49DuqZ3ANLh3ocdoDz6gSRVdgMp2G9dbU6KhJeEUPJqjJ1AYJCxM3LXmmGTezkl
Toyota_2TR_2.7L,Toyota,2TR,Engine,Petrol,2.7L,4,TOYOTA 2TR  2.7L / 1TR 2.0L - V4 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02Zqa6HcNveqAn23nhqM53uLc3PPU7donXmPiobRcx5A48VqL3r9uFphMsEoM8dkMjl
Mazda_WL_2.5L__5,Mazda,WL,Engine,Diesel,2.5L,5,MAZDA WL – 2.5 L V4 DIESEL ENGINE-,https://www.facebook.com/jdmmiamimotors/posts/pfbid0N48pAY9UMAVgyfS45dd33mtcGD7g2tvYFpG4J94DJPweKoBs5j7ixBWVomLwjqWhl
Isuzu_4JA1-T_2.5L__2,Isuzu,4JA1-T,Engine,Diesel,2.5L,4,ISUZU  4JA1-T 2.5L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0CCy26atAybuNmJBtYnwHCTqCgXoTBrFNyyCxy1kt8GK33arQwRh9xMZ6RBzoL7uVl
Mitsubishi_4M40_2.8L__3,Mitsubishi,4M40,Engine,Diesel,2.8L,5,MITSUBISHI 4M40 (2.8L ) In-line 4 Cylinder turbo charged diesel engine...,https://www.facebook.com/jdmmiamimotors/posts/pfbid02Py6HdE4L92A8dB5fsymCehdEyPq7w87SPezaD2UyveR6yRWKXoNEv8zXMQR83GwDl
Kia_J2_2.7L__3,Kia,J2,Engine,Diesel,2.7L,3,KIA J2(2.7L) KIA JT(3.0L) V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0btPkFLRt9ozrio2yu3RiZrUV2DqnifeKozNkkLKgPTDyxCG9su3zvcHL4hVyghYKl
Nissan_YD25_2.5L__6,Nissan,YD25,Engine,Diesel,2.5L,5,NISSAN YD25 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0FmUxyq5zXNRJRuhD939NsFAsewKDen5Sg7TyprsEs4zTEb3S6mxRGXi2pvr8ThTBl
Toyota_1UZ_4.0L,Toyota,1UZ,Engine,Petrol,4.0L,4,"Toyota 1UZ(4.0L) VVTI and NON-VVTI, V8 GASOLINE ENGINE",https://www.facebook.com/jdmmiamimotors/posts/pfbid024fMsjGm5Ztq2qFpEyupe1WiBVVUT52bii8qtvZ5Qk4i3iTVeifUNwUWUyt37hDthl
Nissan_ZD30_3.0L__4,Nissan,ZD30,Engine,Diesel,3.0L,3,NISSAN ZD30(3.0L) TURBO & NON TURBO V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02x2wUnfCEGty4amX3FKVdnerZksNhumHRuaq5JcQuSbstGWM7M8eDBJpobNxDu93Nl
